,Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
1348,Puducherry, 31-08-2018, M,0.68,502845.0,42.94
1349,Puducherry, 30-09-2018, M,3.51,434151.0,38.07
1350,Puducherry, 31-10-2018, M,0.57,501412.0,42.56
1351,Puducherry, 30-11-2018, M,0.42,427563.0,36.15
1352,Puducherry, 31-12-2018, M,0.37,508041.0,42.83
1353,Puducherry, 31-01-2019, M,1.67,467102.0,39.79
1354,Puducherry, 28-02-2019, M,0.87,504674.0,42.55
1355,Puducherry, 31-03-2019, M,0.31,400011.0,33.45
1356,Puducherry, 30-04-2019, M,0.37,504548.0,42.12
1357,Puducherry, 31-05-2019, M,0.78,456379.0,38.16
1358,Puducherry, 30-06-2019, M,0.0,488896.0,40.46
1359,Puducherry, 31-07-2019, M,0.0,420344.0,34.7
1360,Puducherry, 31-08-2019, M,7.47,496812.0,44.21
1361,Puducherry, 30-09-2019, M,0.76,462290.0,38.26
1362,Puducherry, 31-10-2019, M,1.17,492832.0,40.86
1363,Puducherry, 30-11-2019, M,0.91,417790.0,34.46
1364,Puducherry, 31-12-2019, M,4.05,493943.0,41.97
1365,Puducherry, 31-01-2020, M,0.58,457950.0,37.46
1366,Puducherry, 29-02-2020, M,1.76,493961.0,40.8
1367,Puducherry, 31-03-2020, M,1.2,421028.0,34.49
1368,Puducherry, 30-04-2020, M,75.85,117542.0,39.3
1369,Puducherry, 31-05-2020, M,58.19,172308.0,33.19
1370,Puducherry, 30-06-2020, M,4.24,367135.0,30.8
1371,Puducherry, 31-07-2020, M,15.47,386563.0,36.64
1372,Puducherry, 31-08-2020, M,5.05,396006.0,33.34
1373,Puducherry, 30-09-2020, M,10.9,411717.0,36.84
1374,Puducherry, 31-10-2020, M,6.18,428419.0,36.32
1375,Puducherry, 30-11-2020, M,2.18,407505.0,33.05
1376,Puducherry, 31-12-2020, M,2.7,415410.0,33.79
1377,Puducherry, 31-01-2021, M,7.56,420079.0,35.87
1378,Puducherry, 28-02-2021, M,5.76,420318.0,35.13
1379,Puducherry, 31-03-2021, M,1.44,418321.0,33.34
1380,Puducherry, 30-04-2021, M,2.72,424356.0,34.19
1381,Puducherry, 31-05-2021, M,23.97,348683.0,35.85
1382,Puducherry, 30-06-2021, M,47.12,222864.0,32.86
1383,Puducherry, 31-07-2021, M,9.58,408760.0,35.16
1384,Puducherry, 31-08-2021, M,8.57,462760.0,39.27
1385,Puducherry, 30-09-2021, M,11.17,416187.0,36.26
1386,Puducherry, 31-10-2021, M,6.02,425097.0,34.92
1387,Puducherry, 30-11-2021, M,6.29,429628.0,35.3
1388,Puducherry, 31-12-2021, M,6.22,464517.0,38.05
1389,Puducherry, 31-01-2022, M,7.76,431656.0,35.86
1390,Puducherry, 28-02-2022, M,3.71,436960.0,34.69
1391,Puducherry, 31-03-2022, M,4.22,437602.0,34.84
1392,Puducherry, 30-04-2022, M,5.56,489100.0,39.39
1393,Puducherry, 31-05-2022, M,5.58,449016.0,36.08
1394,Puducherry, 30-06-2022, M,0.85,446761.0,34.1
1395,Puducherry, 31-07-2022, M,2.82,443305.0,34.44
1396,Punjab, 31-01-2016, M,7.66,9754023.0,46.27
1397,Punjab, 29-02-2016, M,12.38,9262659.0,46.23
1398,Punjab, 31-03-2016, M,8.32,9643108.0,45.92
1399,Punjab, 30-04-2016, M,7.28,9656125.0,45.38
1400,Punjab, 31-05-2016, M,5.07,10078832.0,46.19
1401,Punjab, 30-06-2016, M,10.58,9560266.0,46.43
1402,Punjab, 31-07-2016, M,6.29,10058453.0,46.53
1403,Punjab, 31-08-2016, M,6.68,9941356.0,46.1
1404,Punjab, 30-09-2016, M,4.81,10112534.0,45.89
1405,Punjab, 31-10-2016, M,11.09,9524845.0,46.2
1406,Punjab, 30-11-2016, M,4.87,10019825.0,45.35
1407,Punjab, 31-12-2016, M,6.07,9303829.0,42.57
1408,Punjab, 31-01-2017, M,5.62,9722154.0,44.19
1409,Punjab, 28-02-2017, M,7.99,9403160.0,43.77
1410,Punjab, 31-03-2017, M,2.62,10066784.0,44.2
1411,Punjab, 30-04-2017, M,1.83,9969161.0,43.35
1412,Punjab, 31-05-2017, M,5.45,9589951.0,43.22
1413,Punjab, 30-06-2017, M,8.89,9213845.0,43.02
1414,Punjab, 31-07-2017, M,4.68,10105217.0,45.02
1415,Punjab, 31-08-2017, M,2.48,10153038.0,44.13
1416,Punjab, 30-09-2017, M,4.02,9381025.0,41.36
1417,Punjab, 31-10-2017, M,7.82,9101741.0,41.71
1418,Punjab, 30-11-2017, M,9.15,9743608.0,45.22
1419,Punjab, 31-12-2017, M,6.78,9751980.0,44.04
1420,Punjab, 31-01-2018, M,6.69,9451517.0,42.56
1421,Punjab, 28-02-2018, M,9.64,9037017.0,41.96
1422,Punjab, 31-03-2018, M,9.01,9625563.0,44.3
1423,Punjab, 30-04-2018, M,7.16,9565632.0,43.08
1424,Punjab, 31-05-2018, M,7.26,9442801.0,42.5
1425,Punjab, 30-06-2018, M,8.29,9159458.0,41.61
1426,Punjab, 31-07-2018, M,8.44,9818753.0,44.6
1427,Punjab, 31-08-2018, M,5.37,9692368.0,42.52
1428,Punjab, 30-09-2018, M,9.83,9626059.0,44.24
1429,Punjab, 31-10-2018, M,11.68,9227814.0,43.23
1430,Punjab, 30-11-2018, M,8.56,9817265.0,44.34
1431,Punjab, 31-12-2018, M,5.83,9710595.0,42.52
1432,Punjab, 31-01-2019, M,10.47,9604005.0,44.15
1433,Punjab, 28-02-2019, M,12.39,9205076.0,43.18
1434,Punjab, 31-03-2019, M,9.8,9731044.0,44.25
1435,Punjab, 30-04-2019, M,7.51,9641918.0,42.69
1436,Punjab, 31-05-2019, M,10.73,9378466.0,42.94
1437,Punjab, 30-06-2019, M,12.55,9333034.0,43.55
1438,Punjab, 31-07-2019, M,10.36,9900571.0,44.99
1439,Punjab, 31-08-2019, M,8.68,9683288.0,43.12
1440,Punjab, 30-09-2019, M,11.29,9481369.0,43.39
1441,Punjab, 31-10-2019, M,12.97,9092358.0,42.33
1442,Punjab, 30-11-2019, M,8.29,9997265.0,44.1
1443,Punjab, 31-12-2019, M,8.36,9739995.0,42.92
1444,Punjab, 31-01-2020, M,11.11,9442093.0,42.82
1445,Punjab, 29-02-2020, M,10.97,9229047.0,41.72
1446,Punjab, 31-03-2020, M,10.32,9975485.0,44.69
1447,Punjab, 30-04-2020, M,2.86,7020565.0,28.99
1448,Punjab, 31-05-2020, M,28.33,6872938.0,38.39
1449,Punjab, 30-06-2020, M,16.55,8390766.0,40.18
1450,Punjab, 31-07-2020, M,9.19,9732417.0,42.76
1451,Punjab, 31-08-2020, M,10.99,9386169.0,41.99
1452,Punjab, 30-09-2020, M,9.61,8979999.0,39.5
1453,Punjab, 31-10-2020, M,9.83,8811756.0,38.78
1454,Punjab, 30-11-2020, M,7.64,9550215.0,40.96
1455,Punjab, 31-12-2020, M,4.37,9369173.0,38.75
1456,Punjab, 31-01-2021, M,8.09,9097268.0,39.07
1457,Punjab, 28-02-2021, M,7.21,9037550.0,38.39
1458,Punjab, 31-03-2021, M,7.35,9590215.0,40.73
1459,Punjab, 30-04-2021, M,5.33,9367881.0,38.87
1460,Punjab, 31-05-2021, M,8.84,8900420.0,38.28
1461,Punjab, 30-06-2021, M,8.27,9008366.0,38.44
1462,Punjab, 31-07-2021, M,6.93,9706975.0,40.75
1463,Punjab, 31-08-2021, M,6.05,9462403.0,39.28
1464,Punjab, 30-09-2021, M,9.28,8935927.0,38.35
1465,Punjab, 31-10-2021, M,11.41,8722548.0,38.27
1466,Punjab, 30-11-2021, M,6.7,9835327.0,40.9
1467,Punjab, 31-12-2021, M,6.78,9577559.0,39.8
1468,Punjab, 31-01-2022, M,9.31,8953493.0,38.17
1469,Punjab, 28-02-2022, M,8.99,9030318.0,38.3
1470,Punjab, 31-03-2022, M,6.94,9842359.0,40.76
1471,Punjab, 30-04-2022, M,7.25,9632697.0,39.95
1472,Punjab, 31-05-2022, M,9.15,9172799.0,38.77
1473,Punjab, 30-06-2022, M,8.51,9204594.0,38.57
1474,Punjab, 31-07-2022, M,7.74,10068762.0,41.76
1475,Rajasthan, 31-01-2016, M,6.72,19348695.0,40.49
1476,Rajasthan, 29-02-2016, M,3.82,19918070.0,40.34
1477,Rajasthan, 31-03-2016, M,7.56,18609185.0,39.12
1478,Rajasthan, 30-04-2016, M,11.45,18644477.0,40.82
1479,Rajasthan, 31-05-2016, M,8.82,18690639.0,39.65
1480,Rajasthan, 30-06-2016, M,7.16,19780871.0,41.12
1481,Rajasthan, 31-07-2016, M,6.36,17627470.0,36.24
1482,Rajasthan, 31-08-2016, M,5.55,19503415.0,39.66
1483,Rajasthan, 30-09-2016, M,4.17,20235485.0,40.47
1484,Rajasthan, 31-10-2016, M,3.91,20135234.0,40.06
1485,Rajasthan, 30-11-2016, M,4.97,17825134.0,35.78
1486,Rajasthan, 31-12-2016, M,7.77,18760518.0,38.71
1487,Rajasthan, 31-01-2017, M,5.18,19134010.0,38.31
1488,Rajasthan, 28-02-2017, M,3.73,20408833.0,40.17
1489,Rajasthan, 31-03-2017, M,2.79,20914052.0,40.67
1490,Rajasthan, 30-04-2017, M,4.95,20169763.0,40.02
1491,Rajasthan, 31-05-2017, M,2.73,19176736.0,37.09
1492,Rajasthan, 30-06-2017, M,4.4,20645461.0,40.54
1493,Rajasthan, 31-07-2017, M,1.72,19236798.0,36.66
1494,Rajasthan, 31-08-2017, M,6.5,19241686.0,38.45
1495,Rajasthan, 30-09-2017, M,1.59,20493578.0,38.82
1496,Rajasthan, 31-10-2017, M,3.56,19386262.0,37.38
1497,Rajasthan, 30-11-2017, M,7.78,20520622.0,41.29
1498,Rajasthan, 31-12-2017, M,4.7,19617961.0,38.11
1499,Rajasthan, 31-01-2018, M,6.41,19639483.0,38.76
1500,Rajasthan, 28-02-2018, M,6.65,19078450.0,37.67
1501,Rajasthan, 31-03-2018, M,13.2,19637012.0,41.6
1502,Rajasthan, 30-04-2018, M,7.4,19053973.0,37.75
1503,Rajasthan, 31-05-2018, M,5.36,20019460.0,38.71
1504,Rajasthan, 30-06-2018, M,10.08,19367639.0,39.33
1505,Rajasthan, 31-07-2018, M,9.49,19558725.0,39.36
1506,Rajasthan, 31-08-2018, M,9.75,19277283.0,38.82
1507,Rajasthan, 30-09-2018, M,7.58,19564512.0,38.39
1508,Rajasthan, 31-10-2018, M,13.63,19543972.0,40.94
1509,Rajasthan, 30-11-2018, M,12.51,19776255.0,40.8
1510,Rajasthan, 31-12-2018, M,14.87,19491220.0,41.23
1511,Rajasthan, 31-01-2019, M,7.67,19802750.0,38.53
1512,Rajasthan, 28-02-2019, M,10.58,20445986.0,40.99
1513,Rajasthan, 31-03-2019, M,9.71,19964844.0,39.54
1514,Rajasthan, 30-04-2019, M,12.58,20053759.0,40.93
1515,Rajasthan, 31-05-2019, M,6.63,20334436.0,38.77
1516,Rajasthan, 30-06-2019, M,13.88,19851738.0,40.94
1517,Rajasthan, 31-07-2019, M,10.23,20232340.0,39.94
1518,Rajasthan, 31-08-2019, M,13.08,20247209.0,41.18
1519,Rajasthan, 30-09-2019, M,7.52,20467523.0,39.03
1520,Rajasthan, 31-10-2019, M,14.24,20562884.0,42.19
1521,Rajasthan, 30-11-2019, M,11.49,20585267.0,40.83
1522,Rajasthan, 31-12-2019, M,15.01,20594797.0,42.44
1523,Rajasthan, 31-01-2020, M,10.97,20641716.0,40.51
1524,Rajasthan, 29-02-2020, M,15.16,20328915.0,41.77
1525,Rajasthan, 31-03-2020, M,11.9,20024680.0,39.54
1526,Rajasthan, 30-04-2020, M,17.7,15984142.0,33.71
1527,Rajasthan, 31-05-2020, M,15.74,19826602.0,40.74
1528,Rajasthan, 30-06-2020, M,14.39,20506612.0,41.38
1529,Rajasthan, 31-07-2020, M,15.81,19932393.0,40.8
1530,Rajasthan, 31-08-2020, M,17.51,20014060.0,41.71
1531,Rajasthan, 30-09-2020, M,15.35,20149594.0,40.83
1532,Rajasthan, 31-10-2020, M,24.1,19913403.0,44.9
1533,Rajasthan, 30-11-2020, M,18.52,20268396.0,42.47
1534,Rajasthan, 31-12-2020, M,28.23,19786545.0,46.96
1535,Rajasthan, 31-01-2021, M,17.69,21125626.0,43.62
1536,Rajasthan, 28-02-2021, M,25.63,20096427.0,45.83
1537,Rajasthan, 31-03-2021, M,19.74,20392741.0,42.99
1538,Rajasthan, 30-04-2021, M,28.04,19857143.0,46.58
1539,Rajasthan, 31-05-2021, M,27.64,18671874.0,43.45
1540,Rajasthan, 30-06-2021, M,26.27,20321049.0,46.31
1541,Rajasthan, 31-07-2021, M,21.06,20661802.0,43.88
1542,Rajasthan, 31-08-2021, M,26.69,20521536.0,46.81
1543,Rajasthan, 30-09-2021, M,17.87,21092269.0,42.85
1544,Rajasthan, 31-10-2021, M,29.52,20463351.0,48.32
1545,Rajasthan, 30-11-2021, M,20.23,20322679.0,42.31
1546,Rajasthan, 31-12-2021, M,27.12,20152764.0,45.81
1547,Rajasthan, 31-01-2022, M,18.95,20683321.0,42.18
1548,Rajasthan, 28-02-2022, M,32.39,19511908.0,47.6
1549,Rajasthan, 31-03-2022, M,24.48,19672111.0,42.86
1550,Rajasthan, 30-04-2022, M,28.8,20196775.0,46.57
1551,Rajasthan, 31-05-2022, M,22.2,20783118.0,43.76
1552,Rajasthan, 30-06-2022, M,29.77,19656959.0,45.74
1553,Rajasthan, 31-07-2022, M,19.13,20019314.0,40.36
1554,Sikkim, 30-09-2018, M,11.25,280884.0,58.62
1555,Sikkim, 31-10-2018, M,12.14,207652.0,43.66
1556,Sikkim, 30-11-2018, M,4.69,258027.0,49.87
1557,Sikkim, 31-01-2019, M,13.24,274484.0,57.97
1558,Sikkim, 28-02-2019, M,8.3,227220.0,45.28
1559,Sikkim, 31-03-2019, M,6.8,265777.0,51.97
1560,Sikkim, 30-04-2019, M,4.79,219201.0,41.85
1561,Sikkim, 31-05-2019, M,13.31,271818.0,56.83
1562,Sikkim, 30-06-2019, M,8.99,229429.0,45.56
1563,Sikkim, 31-07-2019, M,6.81,265454.0,51.34
1564,Sikkim, 31-08-2019, M,2.06,218190.0,40.04
1565,Sikkim, 30-09-2019, M,6.41,280086.0,53.64
1566,Sikkim, 31-10-2019, M,7.1,234662.0,45.14
1567,Sikkim, 30-11-2019, M,9.71,270177.0,53.33
1568,Sikkim, 31-12-2019, M,3.34,249682.0,45.9
1569,Sikkim, 31-03-2020, M,23.57,262895.0,60.59
1570,Sikkim, 30-04-2020, M,2.28,215303.0,38.7
1571,Sikkim, 31-05-2020, M,24.51,193427.0,44.88
1572,Sikkim, 30-06-2020, M,4.46,221058.0,40.4
1573,Sikkim, 31-07-2020, M,4.45,265175.0,48.32
1574,Sikkim, 31-08-2020, M,12.49,244462.0,48.49
1575,Sikkim, 30-09-2020, M,5.7,231798.0,42.54
1576,Sikkim, 31-10-2020, M,0.88,242068.0,42.13
1577,Sikkim, 30-11-2020, M,1.85,265087.0,46.46
1578,Sikkim, 31-12-2020, M,0.67,291263.0,50.29
1579,Sikkim, 31-01-2021, M,0.0,271163.0,46.35
1580,Sikkim, 28-02-2021, M,4.29,269144.0,47.94
1581,Sikkim, 31-03-2021, M,1.74,268111.0,46.37
1582,Sikkim, 30-04-2021, M,1.8,260191.0,44.89
1583,Sikkim, 31-05-2021, M,4.19,271870.0,47.92
1584,Sikkim, 30-06-2021, M,0.0,264393.0,44.51
1585,Sikkim, 31-07-2021, M,0.0,291920.0,48.99
1586,Sikkim, 31-08-2021, M,0.0,275861.0,46.14
1587,Sikkim, 31-10-2021, M,9.98,253543.0,46.81
1588,Sikkim, 30-04-2022, M,8.67,249365.0,44.5
1589,Sikkim, 31-05-2022, M,7.52,267699.0,47.02
1590,Sikkim, 30-06-2022, M,12.69,191149.0,35.45
1591,Sikkim, 31-07-2022, M,6.47,214996.0,37.09
1592,Tamil Nadu, 31-01-2016, M,7.59,30805567.0,55.23
1593,Tamil Nadu, 29-02-2016, M,4.41,31278490.0,54.13
1594,Tamil Nadu, 31-03-2016, M,11.6,30359801.0,56.73
1595,Tamil Nadu, 30-04-2016, M,9.77,30660799.0,56.04
1596,Tamil Nadu, 31-05-2016, M,9.11,30645647.0,55.52
1597,Tamil Nadu, 30-06-2016, M,6.79,30171453.0,53.22
1598,Tamil Nadu, 31-07-2016, M,8.53,30969081.0,55.57
1599,Tamil Nadu, 31-08-2016, M,10.93,31978443.0,58.84
1600,Tamil Nadu, 30-09-2016, M,18.4,30483125.0,61.13
1601,Tamil Nadu, 31-10-2016, M,10.65,30783285.0,56.28
1602,Tamil Nadu, 30-11-2016, M,6.0,30488813.0,52.91
1603,Tamil Nadu, 31-12-2016, M,7.09,31379847.0,55.0
1604,Tamil Nadu, 31-01-2017, M,12.55,30962576.0,57.57
1605,Tamil Nadu, 28-02-2017, M,7.63,30800814.0,54.14
1606,Tamil Nadu, 31-03-2017, M,4.18,30820227.0,52.14
1607,Tamil Nadu, 30-04-2017, M,5.69,30815482.0,52.88
1608,Tamil Nadu, 31-05-2017, M,3.67,30431940.0,51.05
1609,Tamil Nadu, 30-06-2017, M,2.68,30258932.0,50.16
1610,Tamil Nadu, 31-07-2017, M,3.18,30263412.0,50.35
1611,Tamil Nadu, 31-08-2017, M,2.81,29487963.0,48.8
1612,Tamil Nadu, 30-09-2017, M,3.08,30523117.0,50.57
1613,Tamil Nadu, 31-10-2017, M,3.85,30030092.0,50.07
1614,Tamil Nadu, 30-11-2017, M,3.0,30688529.0,50.64
1615,Tamil Nadu, 31-12-2017, M,2.94,30532083.0,50.27
1616,Tamil Nadu, 31-01-2018, M,2.4,30443984.0,49.77
1617,Tamil Nadu, 28-02-2018, M,2.55,29243004.0,47.81
1618,Tamil Nadu, 31-03-2018, M,3.03,29810179.0,48.9
1619,Tamil Nadu, 30-04-2018, M,1.87,30027606.0,48.6
1620,Tamil Nadu, 31-05-2018, M,2.08,30141678.0,48.81
1621,Tamil Nadu, 30-06-2018, M,1.51,29200317.0,46.94
1622,Tamil Nadu, 31-07-2018, M,2.56,29806640.0,48.35
1623,Tamil Nadu, 31-08-2018, M,1.6,29456524.0,47.24
1624,Tamil Nadu, 30-09-2018, M,1.8,28568698.0,45.84
1625,Tamil Nadu, 31-10-2018, M,1.1,28284400.0,44.99
1626,Tamil Nadu, 30-11-2018, M,3.02,29311576.0,47.48
1627,Tamil Nadu, 31-12-2018, M,2.07,28063954.0,44.94
1628,Tamil Nadu, 31-01-2019, M,2.25,27520190.0,44.08
1629,Tamil Nadu, 28-02-2019, M,1.91,27638278.0,44.05
1630,Tamil Nadu, 31-03-2019, M,1.72,28235810.0,44.84
1631,Tamil Nadu, 30-04-2019, M,1.23,27490694.0,43.38
1632,Tamil Nadu, 31-05-2019, M,0.94,27642770.0,43.42
1633,Tamil Nadu, 30-06-2019, M,1.19,28694054.0,45.12
1634,Tamil Nadu, 31-07-2019, M,4.83,28510351.0,46.47
1635,Tamil Nadu, 31-08-2019, M,5.8,28397017.0,46.69
1636,Tamil Nadu, 30-09-2019, M,1.8,26967205.0,42.46
1637,Tamil Nadu, 31-10-2019, M,1.31,27819597.0,43.52
1638,Tamil Nadu, 30-11-2019, M,2.54,27953384.0,44.21
1639,Tamil Nadu, 31-12-2019, M,5.7,27617321.0,45.07
1640,Tamil Nadu, 31-01-2020, M,1.57,26881641.0,41.96
1641,Tamil Nadu, 29-02-2020, M,2.09,27570589.0,43.2
1642,Tamil Nadu, 31-03-2020, M,6.4,26830768.0,43.91
1643,Tamil Nadu, 30-04-2020, M,49.83,9719167.0,29.63
1644,Tamil Nadu, 31-05-2020, M,33.16,11483256.0,26.23
1645,Tamil Nadu, 30-06-2020, M,12.2,19096847.0,33.16
1646,Tamil Nadu, 31-07-2020, M,6.81,24572827.0,40.13
1647,Tamil Nadu, 31-08-2020, M,2.65,27046415.0,42.22
1648,Tamil Nadu, 30-09-2020, M,5.0,23025845.0,36.77
1649,Tamil Nadu, 31-10-2020, M,2.16,23651626.0,36.62
1650,Tamil Nadu, 30-11-2020, M,1.15,24629525.0,37.68
1651,Tamil Nadu, 31-12-2020, M,0.53,25020860.0,37.98
1652,Tamil Nadu, 31-01-2021, M,3.99,22930424.0,36.0
1653,Tamil Nadu, 28-02-2021, M,4.79,23539357.0,37.22
1654,Tamil Nadu, 31-03-2021, M,3.02,24688097.0,38.26
1655,Tamil Nadu, 30-04-2021, M,2.34,24591402.0,37.78
1656,Tamil Nadu, 31-05-2021, M,27.97,14183803.0,29.5
1657,Tamil Nadu, 30-06-2021, M,8.3,19876121.0,32.42
1658,Tamil Nadu, 31-07-2021, M,4.78,24651814.0,38.66
1659,Tamil Nadu, 31-08-2021, M,6.27,23991586.0,38.16
1660,Tamil Nadu, 30-09-2021, M,7.0,22076645.0,35.34
1661,Tamil Nadu, 31-10-2021, M,4.89,22604681.0,35.32
1662,Tamil Nadu, 30-11-2021, M,5.13,24405134.0,38.17
1663,Tamil Nadu, 31-12-2021, M,6.91,23072393.0,36.72
1664,Tamil Nadu, 31-01-2022, M,5.3,22542644.0,35.21
1665,Tamil Nadu, 28-02-2022, M,3.23,22265049.0,33.98
1666,Tamil Nadu, 31-03-2022, M,4.13,23845915.0,36.67
1667,Tamil Nadu, 30-04-2022, M,3.17,22836874.0,34.72
1668,Tamil Nadu, 31-05-2022, M,3.09,21764549.0,33.01
1669,Tamil Nadu, 30-06-2022, M,2.11,21898382.0,32.83
1670,Tamil Nadu, 31-07-2022, M,2.97,24187335.0,36.52
1671,Telangana, 31-01-2016, M,7.36,17815321.0,66.91
1672,Telangana, 29-02-2016, M,4.67,16508460.0,60.14
1673,Telangana, 31-03-2016, M,4.76,15830168.0,57.62
1674,Telangana, 30-04-2016, M,6.49,17066847.0,63.15
1675,Telangana, 31-05-2016, M,6.3,16361651.0,60.31
1676,Telangana, 30-06-2016, M,8.53,13940938.0,52.54
1677,Telangana, 31-07-2016, M,4.64,14246163.0,51.4
1678,Telangana, 31-08-2016, M,4.1,17057209.0,61.08
1679,Telangana, 30-09-2016, M,3.69,15686245.0,55.83
1680,Telangana, 31-10-2016, M,7.48,15577069.0,57.61
1681,Telangana, 30-11-2016, M,4.83,16339639.0,58.63
1682,Telangana, 31-12-2016, M,4.6,17562401.0,62.75
1683,Telangana, 31-01-2017, M,5.23,14693047.0,52.75
1684,Telangana, 28-02-2017, M,14.47,14393489.0,57.15
1685,Telangana, 31-03-2017, M,5.38,17750002.0,63.59
1686,Telangana, 30-04-2017, M,2.59,16709603.0,58.04
1687,Telangana, 31-05-2017, M,3.38,14706639.0,51.4
1688,Telangana, 30-06-2017, M,12.94,14332462.0,55.5
1689,Telangana, 31-07-2017, M,4.71,15170845.0,53.56
1690,Telangana, 31-08-2017, M,1.98,16297243.0,55.83
1691,Telangana, 30-09-2017, M,2.42,14134302.0,48.55
1692,Telangana, 31-10-2017, M,4.05,14173236.0,49.42
1693,Telangana, 30-11-2017, M,2.83,17340383.0,59.59
1694,Telangana, 31-12-2017, M,2.74,17360562.0,59.49
1695,Telangana, 31-01-2018, M,4.0,14531233.0,50.35
1696,Telangana, 28-02-2018, M,3.43,15226578.0,52.36
1697,Telangana, 31-03-2018, M,3.62,15861778.0,54.55
1698,Telangana, 30-04-2018, M,1.97,14615094.0,49.33
1699,Telangana, 31-05-2018, M,0.97,14067425.0,46.91
1700,Telangana, 30-06-2018, M,1.19,15242436.0,50.85
1701,Telangana, 31-07-2018, M,0.75,16613504.0,55.07
1702,Telangana, 31-08-2018, M,0.49,15788971.0,52.1
1703,Telangana, 30-09-2018, M,0.44,16593024.0,54.63
1704,Telangana, 31-10-2018, M,0.94,14672276.0,48.45
1705,Telangana, 30-11-2018, M,0.52,16996261.0,55.79
1706,Telangana, 31-12-2018, M,0.94,15232136.0,50.11
1707,Telangana, 31-01-2019, M,2.61,16647293.0,55.6
1708,Telangana, 28-02-2019, M,2.38,15556530.0,51.74
1709,Telangana, 31-03-2019, M,2.48,16619084.0,55.23
1710,Telangana, 30-04-2019, M,2.66,15128939.0,50.28
1711,Telangana, 31-05-2019, M,1.99,16614003.0,54.73
1712,Telangana, 30-06-2019, M,4.41,16412169.0,55.34
1713,Telangana, 31-07-2019, M,2.86,16971193.0,56.2
1714,Telangana, 31-08-2019, M,2.37,16288655.0,53.56
1715,Telangana, 30-09-2019, M,4.82,17084091.0,57.52
1716,Telangana, 31-10-2019, M,7.11,16693687.0,57.48
1717,Telangana, 30-11-2019, M,6.07,16603948.0,56.44
1718,Telangana, 31-12-2019, M,2.3,16385834.0,53.44
1719,Telangana, 31-01-2020, M,5.49,17609295.0,59.25
1720,Telangana, 29-02-2020, M,8.29,16825970.0,58.24
1721,Telangana, 31-03-2020, M,5.77,17341613.0,58.31
1722,Telangana, 30-04-2020, M,6.25,12172230.0,41.06
1723,Telangana, 31-05-2020, M,14.7,14977774.0,55.43
1724,Telangana, 30-06-2020, M,10.55,15108910.0,53.22
1725,Telangana, 31-07-2020, M,5.36,15679417.0,52.1
1726,Telangana, 31-08-2020, M,5.79,18185429.0,60.59
1727,Telangana, 30-09-2020, M,3.27,16958984.0,54.93
1728,Telangana, 31-10-2020, M,2.93,17417825.0,56.11
1729,Telangana, 30-11-2020, M,1.56,17190976.0,54.51
1730,Telangana, 31-12-2020, M,7.05,13239092.0,44.37
1731,Telangana, 31-01-2021, M,4.26,16304175.0,52.95
1732,Telangana, 28-02-2021, M,5.58,16040348.0,52.73
1733,Telangana, 31-03-2021, M,3.67,16373619.0,52.65
1734,Telangana, 30-04-2021, M,5.05,14105009.0,45.94
1735,Telangana, 31-05-2021, M,7.2,16891260.0,56.18
1736,Telangana, 30-06-2021, M,4.78,15077504.0,48.78
1737,Telangana, 31-07-2021, M,4.01,16094158.0,51.55
1738,Telangana, 31-08-2021, M,4.66,16234011.0,52.25
1739,Telangana, 30-09-2021, M,3.63,16852051.0,53.56
1740,Telangana, 31-10-2021, M,4.13,16904140.0,53.9
1741,Telangana, 30-11-2021, M,4.14,16193012.0,51.54
1742,Telangana, 31-12-2021, M,2.16,17128340.0,53.32
1743,Telangana, 31-01-2022, M,0.69,16099871.0,49.28
1744,Telangana, 28-02-2022, M,12.95,14999753.0,52.28
1745,Telangana, 31-03-2022, M,6.55,16077052.0,52.1
1746,Telangana, 30-04-2022, M,9.91,16573703.0,55.61
1747,Telangana, 31-05-2022, M,9.38,16829246.0,56.03
1748,Telangana, 30-06-2022, M,9.99,13673720.0,45.75
1749,Telangana, 31-07-2022, M,5.83,13300384.0,42.45
1750,Tripura, 30-09-2017, M,19.41,1218132.0,49.47
1751,Tripura, 31-10-2017, M,8.51,1468082.0,52.43
1752,Tripura, 30-11-2017, M,8.35,1266700.0,45.08
1753,Tripura, 31-01-2018, M,31.11,1399231.0,66.0
1754,Tripura, 28-02-2018, M,30.23,1416297.0,65.85
1755,Tripura, 31-03-2018, M,15.19,1301630.0,49.7
1756,Tripura, 30-04-2018, M,13.55,1340371.0,50.12
1757,Tripura, 31-05-2018, M,23.68,1441375.0,60.94
1758,Tripura, 30-06-2018, M,22.13,1440654.0,59.58
1759,Tripura, 31-07-2018, M,17.86,1330820.0,52.09
1760,Tripura, 31-08-2018, M,27.43,1384626.0,61.23
1761,Tripura, 30-09-2018, M,39.1,1375891.0,72.36
1762,Tripura, 31-10-2018, M,32.43,1480505.0,70.05
1763,Tripura, 30-11-2018, M,32.34,1408467.0,66.44
1764,Tripura, 31-12-2018, M,27.34,1430316.0,62.71
1765,Tripura, 31-01-2019, M,32.63,1434823.0,67.72
1766,Tripura, 28-02-2019, M,26.16,1544426.0,66.4
1767,Tripura, 31-03-2019, M,22.98,1449641.0,59.64
1768,Tripura, 30-04-2019, M,25.43,1435520.0,60.89
