Date,CO,NO2,SO2,PM2_5
2018-01-01,1320.1395513768762,23.336406662431774,17.244341791311303,133.41584648738942
2018-01-02,1131.3457055680833,23.163084242424237,17.509055807168654,135.64302565405612
2018-01-03,1139.1598618287726,23.392423556371174,17.456489711170864,131.12629012375305
2018-01-04,1202.3330411991988,21.970572041219647,17.842311765972763,134.03023338132883
2018-01-05,1240.9957572042617,20.721071976284584,17.502457864060077,133.40119247223794
2018-01-06,1339.3300517100345,21.989675071522683,18.227843045101206,131.12629012375308
2018-01-07,1145.3030261277634,22.33490046113307,17.584771429763173,129.71793247223792
2018-01-08,1203.0327923690572,22.168451813946927,17.617339033519546,133.39991989648033
2018-01-09,1287.601283248874,22.168451813946927,17.466025484801836,127.32175285102579
2018-01-10,1202.6597414919613,22.306371056371162,17.662026578746104,133.39991989648033
2018-01-11,1263.030119175714,23.29609878364389,17.705495413565643,130.60415959345
2018-01-12,1414.8463251145931,23.424732268492377,17.57212958722048,134.47700588132884
2018-01-13,1285.9789073261777,23.120579238189354,18.242986207873887,129.8957947449652
2018-01-14,1234.4821832630846,23.31043953463204,17.642501876895533,129.8957947449652
2018-01-15,1206.4774205654826,23.088166662431778,17.537526880900323,133.35701110860154
2018-01-16,1303.5150174924718,23.180765753340857,17.512718669719476,135.1882663358743
2018-01-17,1293.6568258779887,23.098951510916617,17.504363340979875,122.60528951769246
2018-01-18,1215.529842420388,23.254083101825714,18.388259493646462,123.59842209345001
2018-01-19,1107.9459100595877,23.179031283643898,17.95902754428455,121.19266277526822
2018-01-20,1225.6509175889544,23.18079022303784,18.624746757926847,124.36248618435911
2018-01-21,1217.8496849928392,23.314429768492378,17.676735603313237,123.06517663890459
2018-01-22,1352.1384788496425,23.31157378364389,17.987204826836177,122.23092262375305
2018-01-23,1194.154137386695,23.24706378364389,17.375938746476717,123.59842209345004
2018-01-24,1102.7303186264362,23.2470637836439,17.196676294871637,123.2517624722379
2018-01-25,1108.540338440298,23.357245677583293,17.49815634351113,120.78470209345004
2018-01-26,1120.2653306857019,23.37515060182571,17.313387287040968,123.36785300254094
2018-01-27,1150.9755488771852,23.049531445981557,17.97204616666659,123.41693830557124
2018-01-28,1112.1724518187343,23.475379238189344,17.331494761601494,122.22852413890459
2018-01-29,1173.1064604464189,22.978796435159044,18.41119553761648,122.60528951769246
2018-01-30,1183.1998303522548,23.179843935159045,17.446134215103402,123.24519103284396
2018-01-31,1153.8032345468014,23.19748916243176,18.218287489886293,121.0436606540561
2018-02-01,1262.9316730861365,23.179031283643894,17.66789591951171,122.20181360860155
2018-02-02,1109.6520630096686,23.044907874552983,17.28781249697469,118.58840936617729
2018-02-03,1090.8008472598194,23.18005476849238,18.016288134524796,119.14976338132881
2018-02-04,1151.391789144511,22.741914692734802,17.620103895751413,118.30721716920762
2018-02-05,1258.3683017188564,20.771593935159043,18.18572670884138,119.14976338132881
2018-02-06,1228.2194104873633,21.897372723037833,17.72445225992752,120.57741035102579
2018-02-07,1238.1210295812011,20.752615450310564,17.61465811479047,93.03313457180501
2018-02-08,1243.621723581794,21.42536606719367,17.741521949160887,113.88536542678335
2018-02-09,1198.3907398259028,20.788222723037833,17.519789885473987,103.78317542678336
2018-02-10,1122.6055365753011,21.82653552606813,17.280806434346342,112.27431572981364
2018-02-11,1159.8047126974761,22.609805753340865,17.484661209725413,114.68127072981366
2018-02-12,1379.9195638687374,23.310104206773627,18.128996485530806,116.78188800254094
2018-02-13,1090.1052546618682,23.15717287455298,17.19952849521983,118.82779330557123
2018-02-14,1092.1370451605985,23.216179995765106,17.5158064276978,113.43448489648034
2018-02-15,1090.3181992294876,23.20524855637117,17.33953930241249,120.03191201769245
2018-02-16,1107.1624504623749,23.217304010916614,17.63941947818564,112.32120057829849
2018-02-17,1116.0860954424847,23.317764010916612,17.567216002185756,110.22322126011667
2018-02-18,1166.5126529274153,23.375150601825712,17.43886068171274,111.40838724496516
2018-02-19,1148.0018662193145,23.213515757575756,17.696174247872143,111.70455716920759
2018-02-20,1176.3104137366013,23.416373480613583,17.181686623360413,116.36595732072274
2018-02-21,1182.5561865201942,23.250355147280256,17.888351531712413,109.17923792678336
2018-02-22,1186.0810462969823,23.35672695887446,17.49889980125796,115.59036913890458
2018-02-23,1166.59763394446,23.149435367965367,17.93250898511255,110.51780163890457
2018-02-24,1067.0012888493507,23.344419920007535,17.465737679122896,117.14000845708638
2018-02-25,1067.211520917747,23.217440601825714,17.554741811952727,109.84916065405609
2018-02-26,1081.777446470609,23.019465904856016,17.382426271932136,110.38289868435912
2018-02-27,1109.3363414215773,23.378621435159044,17.21921917793247,109.17923792678333
2018-02-28,1189.422322645391,22.229317279314888,18.034219689368445,114.69048754799547
2018-03-01,1135.1624457957382,23.190430904856022,17.42913430066764,114.17462762375304
2018-03-02,1090.6086664012867,23.30458067099567,17.503471084281745,119.20365550254093
2018-03-03,1056.0477158605731,23.000696662431775,17.511642142813624,109.37019648738942
2018-03-04,1236.0666880845706,22.295622647280258,17.56882620491329,113.06704126011668
2018-03-05,1221.331368831372,21.99340863212874,17.506469003011368,109.37019648738942
2018-03-06,1140.986095938184,21.70039734424996,17.119840904532765,115.59036913890455
2018-03-07,1242.6022532972684,22.04003711697723,17.461660599358414,97.34477926877473
2018-03-08,1219.2853473404543,21.91088295031056,17.275161197266673,97.71724358695651
2018-03-09,1212.7993879955159,20.44483242000753,17.604651164941025,97.71724358695654
2018-03-10,1168.747618799916,21.688793329098434,17.520174679732214,97.81710873847169
