Q,Change in Unemployment Rate,Change in Normalized AQI,City,Quadrant
2019-2,0.4333333333333327,-0.0182280732459989,Mumbai,2
2019-2,2.4033333333333333,-0.015410451732403935,Mysuru,2
2019-2,0.4333333333333327,-0.01651565390871526,Nashik,2
2019-2,0.6333333333333346,-0.015927624418157343,Patna,2
2019-2,1.870000000000001,-0.01604156440028018,Prayagraj,2
2019-2,-0.5666666666666668,-0.01554818577596194,Puducherry,4
2019-2,0.4333333333333327,-0.01714064689824768,Pune,2
2019-2,0.12999999999999945,-0.01551905892684019,Shillong,2
2019-2,0.4333333333333327,-0.017745746141955482,Solapur,2
2019-2,-1.953333333333335,-0.015789385906507303,Srinagar,4
2019-2,0.8966666666666665,-0.016156738043608093,Thiruvananthapuram,2
2019-2,1.870000000000001,-0.01593591451007248,Varanasi,2
2019-2,-1.4966666666666666,-0.017848754808882678,Visakhapatnam,4
2019-2,-0.41666666666666785,-0.015723371521127655,Gangtok,4
2019-3,-0.06666666666666643,-0.004978105125586468,Agartala,4
2019-3,-1.1233333333333348,-0.004716850290485158,Agra,4
2019-3,0.1399999999999988,-0.004782686816763748,Aizwal,2
2019-3,-0.1533333333333342,-0.004727964184726291,Amritsar,4
2019-3,-0.1466666666666656,-0.006037169914504398,Asansol,4
2019-3,0.5166666666666666,-0.004619525534416857,Aurangabad,2
2019-3,-1.1233333333333348,-0.004558018961649091,Bareilly,4
2019-3,-2.2266666666666666,-0.005015202165935789,Belgaum,4
2019-3,-2.2266666666666666,-0.004764820119535218,Bengaluru,4
2019-3,-0.08999999999999986,-0.004556443799201587,Bhopal,4
2019-3,-0.1533333333333342,-0.004921158909179768,Chandigarh,4
2019-3,3.0233333333333334,-0.004713308989143045,Chennai,2
2019-3,3.0233333333333334,-0.005498658203192425,Coimbatore,2
2019-3,1.0299999999999985,-0.004633609207342182,Dehradun,2
2019-3,5.070000000000002,-0.006517612863553568,Delhi,2
2019-3,0.5466666666666669,-0.0074145228858826795,Faridabad,2
2019-3,1.0166666666666666,-0.0035386349322670263,Gandhinagar,2
2019-3,-1.1233333333333348,-0.007240424017228908,Ghaziabad,4
2019-3,-1.1233333333333348,-0.004663078164906048,Gorakhpur,4
2019-3,-0.08999999999999986,-0.004623952352977509,Gwalior,4
2019-3,0.33000000000000007,-0.006371820299693881,Hyderabad,2
2019-3,0.1399999999999988,-0.004853954352265377,Imphal,2
2019-3,-0.08999999999999986,-0.004232266026870102,Indore,4
2019-3,-0.08999999999999986,-0.004589496259792686,Jabalpur,4
2019-3,-0.7533333333333356,-0.004814685516897871,Jaipur,4
2019-3,-0.1533333333333342,-0.0035246933245335066,Jalandhar,4
2019-3,-0.7533333333333356,-0.0052292589577475485,Jodhpur,4
2019-3,-1.1233333333333348,-0.00467002884199319,Kanpur,4
2019-3,-0.796666666666666,-0.0042200319882981785,Kochi,4
2019-3,0.1399999999999988,-0.004803021081281944,Kohima,2
2019-3,-0.1466666666666656,-0.006815769140758432,Kolkata,4
2019-3,-0.7533333333333356,-0.005028187401217854,Kota,4
2019-3,-0.796666666666666,-0.004439217873305007,Kozhikode,4
2019-3,-1.1233333333333348,-0.0048458573729204535,Lucknow,4
2019-3,-0.1533333333333342,-0.004828667380046836,Ludhiana,4
2019-3,-2.2266666666666666,-0.00466153617439867,Mangalore,4
2019-3,-1.1233333333333348,-0.004893964714608817,Meerut,4
2019-3,-1.1233333333333348,-0.004577277537287788,Moradabad,4
2019-3,0.5166666666666666,-0.00489090963856037,Mumbai,2
2019-3,-2.2266666666666666,-0.006071036526371032,Mysuru,4
2019-3,0.5166666666666666,-0.003609095096739401,Nashik,2
2019-3,0.7966666666666669,-0.004750085730691911,Patna,2
2019-3,-1.1233333333333348,-0.004611523368378695,Prayagraj,4
2019-3,2.3600000000000003,-0.004499351948599045,Puducherry,2
2019-3,0.5166666666666666,-0.00593524452645669,Pune,2
2019-3,-2.3133333333333335,-0.005047441383719223,Shillong,4
2019-3,0.5166666666666666,-0.0071190103536615396,Solapur,2
2019-3,5.679999999999998,-0.004654273916303131,Srinagar,2
2019-3,-0.796666666666666,-0.004001515108965695,Thiruvananthapuram,4
2019-3,-1.1233333333333348,-0.004727848452673461,Varanasi,4
2019-3,0.5766666666666667,-0.0046724520289451454,Visakhapatnam,2
